,0
20011-902,-43.17692
69079-210,-60.00774
77001-022,-48.31776
76803-745,-63.89849
68900-073,-51.06111
60416-392,-38.54422
69036-110,-60.05594
95020-001,-51.17589
69301-110,-60.67298
93510-130,-51.12682
59020-120,-35.20087
13010-911,-47.05987
42800-400,-38.3195
44052-064,-38.94764
30190-050,-43.94351
37006-510,-45.43689
14015-040,-47.80765
13041-670,-47.05354
14096-560,-47.76753
32670-248,-44.18626
15080-000,-49.37035
13454-179,-47.36964
83065-260,-49.16972
60150-161,-38.50226
92410-350,-51.14049
91010-000,-51.17752
77021-622,-48.33268
78118-071,-56.10147
74645-020,-49.24598
69055-010,-60.01585
60533-690,-38.60745
68904-740,-51.07873
29101-280,-40.2843
22793-082,-43.41881
04046-200,-46.63779
04544-051,-46.67885
04905-021,-46.77451
04278-000,-46.6121
01013-905,-46.63411
29168-060,-40.25098
54250-538,-34.97008
68500-450,-49.11515
88370-438,-48.65145
21211-007,-43.31248
01501-001,-45.88472
03401-001,-46.55771
78550-202,-55.50906
78065-300,-56.08072
13092-108,-47.04146
71805-543,-48.019
68040-400,-54.73678
88303-101,-48.67559
67110-000,-48.40988
13420-585,-47.62267
13060-222,-47.11107
04255-080,-46.59449
12942-540,-46.56536
05016-110,-46.67538
08371-440,-46.428
08010-090,-46.44249
05419-001,-46.69514
01031-000,-46.63385
08070-001,-46.47712
08220-830,-46.46515
04846-000,-46.6937
05787-000,-46.77135
31720-300,-43.95355
22640-010,-43.30406
57046-000,-35.72303
30580-000,-43.99051
07776-450,-46.84058
29102-041,-40.30412
29140-261,-40.36945
77803-130,-48.21651
21331-720,-43.35316
65071-380,-44.26168
83820-001,-49.31047
65907-000,-47.48722
22430-060,-43.21791
47810-710,-45.00905
31570-000,-43.96446
79800-023,-54.80571
48608-080,-38.21737
79010-600,-54.59897
41940-000,-38.48514
42701-260,-38.29916
01002-010,-46.63637
79611-080,-51.68635
64000-150,-42.8143
62010-150,-40.3529
94050-000,-51.07199
08341-420,-46.45469
16010-370,-50.43837
35010-150,-41.9459
76908-408,-61.92113
69093-770,-60.00999
69077-000,-60.01467
57300-005,-36.6592
69309-000,-60.70117
38022-200,-47.93636
28909-490,-42.04283
13230-005,-46.78914
30480-000,-43.97633
37701-002,-46.56791
38400-042,-48.27256
83408-485,-49.1787
17516-000,-49.92892
25963-080,-42.97313
88065-005,-48.51021
04036-100,-46.63549
31030-105,-43.92817
71691-153,-47.77584
84035-300,-50.15898
80440-080,-49.29406
78043-172,-56.11616
59064-390,-35.21969
68900-012,-51.07028
66093-020,-48.46472
68501-690,-49.12876
72915-006,-48.2967
68909-094,-51.0595
64020-720,-42.79742
89802-140,-52.61795
89206-001,-48.81951
75804-066,-51.72805
78048-250,-56.07983
29111-165,-40.347
22410-050,-43.21128
88058-001,-48.43553
13830-080,-46.9171
15045-000,-49.39667
65080-040,-44.30222
90430-000,-51.20096
30110-044,-43.94536
01452-000,-46.68961
44053-268,-38.95839
13505-130,-47.30675
90035-007,-51.2082
60170-250,-38.49158
60440-554,-38.5697
58031-003,-34.84731
27920-230,-41.79762
26553-160,-43.4252
24220-030,-43.11093
27440-010,-44.25673
29136-010,-40.41514
29215-450,-40.49753
64046-010,-42.78629
09981-420,-46.61358
07244-000,-46.41364
06268-000,-46.78623
38702-054,-46.51476
78043-300,-56.11082
58040-040,-34.86061
29055-721,-40.29534
01310-300,-46.65237
71936-250,-48.02772
01036-900,-46.63502
05777-001,-46.75334
24020-086,-43.12035
88015-530,-48.54862
79021-300,-54.58668
69050-010,-60.02431
22440-035,-43.22637
04734-002,-46.69588
02022-000,-46.62703
05428-000,-46.69798
01234-010,-46.66534
03337-000,-46.56076
74115-924,-49.26607
30130-145,-43.93428
80420-210,-49.279
41820-710,-38.46384
12242-800,-45.90475
11060-450,-46.33342
57035-170,-35.70165
59020-300,-35.20102
58030-002,-34.86395
90570-080,-51.20348
65075-650,-44.28728
09710-215,-46.54988
40150-055,-38.52583
70610-420,-48.05766
70070-010,-47.87982
71625-205,-47.88128
38405-142,-48.25921
30170-081,-43.94572
07111-000,-46.52395
13025-001,-47.05359
15085-020,-49.38486
20030-001,-43.17488
90480-002,-51.17788
88801-000,-49.36994
